REGION,YEAR,VALUE
RD,2018,11631.397396700691
RD,2019,27386.696500223952
RD,2020,41021.56229922577
RD,2021,37900.44154821017
RD,2022,40022.48794231294
RD,2023,41228.152096090205
RD,2024,44244.33468215843
RD,2025,45582.707271190106
RD,2026,48692.25480100935
RD,2027,48711.90153329844
RD,2028,51248.31447675019
RD,2029,51271.05010779585
RD,2030,52416.881358286686
RD,2031,52508.18522917029
RD,2032,52823.3714389938
RD,2033,55988.37560850944
RD,2034,61821.8973620174
RD,2035,59536.545948651845
RD,2036,59828.350608162495
RD,2037,60243.64563834998
RD,2038,58506.53103506559
RD,2039,57038.78130687134
RD,2040,56572.83386275921
RD,2041,55212.47724863276
RD,2042,54121.53445430518
RD,2043,52279.49423519761
RD,2044,50762.7806717864
RD,2045,49676.703410739
RD,2046,47851.82033619234
RD,2047,47254.56293416756
RD,2048,46132.2535251463
RD,2049,44185.199364350825
RD,2050,42098.24825317655
